n,xi
10,0/2 0/2 0/2 1/2 2/2 1/2 0/2 0/2 0/2 0/2 0/2 0/2 1/2 2/2 1/2 0/2 0/2 0/2 0/2 0/2 1/2 1/2 2/2 0/2 0/2 0/2 0/2 2/2 1/2 1/2 0/2 0/2 0/2 1/2 2/2 0/2 0/2 0/2 1/2 0/2 0/2 0/2 0/2 0/2 0/2
10,0/2 0/2 0/2 1/2 1/2 2/2 0/2 0/2 0/2 0/2 0/2 0/2 2/2 1/2 1/2 0/2 0/2 0/2 0/2 0/2 1/2 2/2 1/2 0/2 0/2 0/2 0/2 1/2 1/2 2/2 0/2 0/2 0/2 2/2 1/2 0/2 0/2 0/2 1/2 0/2 0/2 0/2 0/2 0/2 0/2
10,0/2 0/2 0/2 1/2 0/2 0/2 2/2 1/2 0/2 0/2 0/2 0/2 2/2 1/2 1/2 0/2 0/2 0/2 0/2 1/2 2/2 1/2 0/2 0/2 0/2 0/2 1/2 0/2 2/2 1/2 0/2 0/2 0/2 1/2 2/2 0/2 0/2 0/2 1/2 0/2 0/2 0/2 0/2 0/2 0/2
10,0/2 0/2 0/2 1/2 0/2 2/2 1/2 0/2 0/2 0/2 0/2 0/2 2/2 0/2 1/2 1/2 0/2 0/2 0/2 1/2 0/2 0/2 2/2 1/2 0/2 0/2 1/2 2/2 1/2 0/2 0/2 1/2 0/2 0/2 2/2 0/2 0/2 0/2 1/2 0/2 0/2 0/2 0/2 0/2 0/2
10,0/2 0/2 0/2 1/2 0/2 2/2 1/2 0/2 0/2 0/2 0/2 0/2 1/2 0/2 2/2 1/2 0/2 0/2 0/2 2/2 0/2 0/2 1/2 1/2 0/2 0/2 1/2 1/2 2/2 0/2 0/2 1/2 0/2 0/2 2/2 0/2 0/2 0/2 1/2 0/2 0/2 0/2 0/2 0/2 0/2
10,0/2 0/2 0/2 1/2 0/2 1/2 2/2 0/2 0/2 0/2 0/2 0/2 2/2 0/2 1/2 1/2 0/2 0/2 0/2 1/2 0/2 0/2 2/2 1/2 0/2 0/2 2/2 1/2 1/2 0/2 0/2 1/2 0/2 0/2 2/2 0/2 0/2 0/2 1/2 0/2 0/2 0/2 0/2 0/2 0/2
10,0/2 0/2 0/2 1/2 0/2 2/2 1/2 0/2 0/2 0/2 0/2 0/2 2/2 0/2 1/2 1/2 0/2 0/2 0/2 1/2 0/2 0/2 2/2 1/2 0/2 0/2 1/2 2/2 0/2 1/2 0/2 0/2 0/2 1/2 2/2 1/2 0/2 0/2 0/2 0/2 0/2 0/2 0/2 0/2 0/2
10,0/2 0/2 0/2 1/2 0/2 2/2 1/2 0/2 0/2 0/2 0/2 0/2 2/2 0/2 1/2 1/2 0/2 0/2 0/2 1/2 0/2 0/2 1/2 2/2 0/2 0/2 1/2 2/2 0/2 1/2 0/2 0/2 0/2 2/2 1/2 1/2 0/2 0/2 0/2 0/2 0/2 0/2 0/2 0/2 0/2
10,0/2 0/2 0/2 1/2 0/2 1/2 2/2 0/2 0/2 0/2 0/2 0/2 1/2 0/2 1/2 2/2 0/2 0/2 0/2 2/2 0/2 0/2 1/2 1/2 0/2 0/2 2/2 1/2 0/2 1/2 0/2 0/2 0/2 1/2 2/2 1/2 0/2 0/2 0/2 0/2 0/2 0/2 0/2 0/2 0/2
10,0/2 0/2 0/2 2/2 0/2 1/2 1/2 0/2 0/2 0/2 0/2 0/2 1/2 0/2 2/2 1/2 0/2 0/2 0/2 1/2 0/2 0/2 2/2 1/2 0/2 0/2 1/2 0/2 1/2 2/2 0/2 0/2 1/2 0/2 1/2 2/2 0/2 0/2 0/2 0/2 0/2 0/2 0/2 0/2 0/2
