n,xi
7,0/2 0/2 2/2 1/2 1/2 0/2 0/2 1/2 0/2 2/2 1/2 0/2 2/2 1/2 1/2 0/2 0/2 1/2 0/2 1/2 0/2
8,0/2 0/2 0/2 1/2 2/2 1/2 0/2 0/2 0/2 2/2 1/2 0/2 1/2 0/2 1/2 0/2 2/2 1/2 0/2 1/2 1/2 2/2 0/2 0/2 0/2 0/2 0/2 0/2
8,0/2 0/2 1/2 2/2 1/2 0/2 0/2 0/2 0/2 1/2 2/2 1/2 0/2 0/2 0/2 1/2 2/2 1/2 0/2 0/2 1/2 2/2 0/2 0/2 1/2 0/2 0/2 0/2
8,0/2 0/2 1/2 1/2 2/2 0/2 0/2 0/2 0/2 2/2 1/2 1/2 0/2 0/2 0/2 1/2 2/2 1/2 0/2 0/2 1/2 2/2 0/2 0/2 1/2 0/2 0/2 0/2
8,0/2 0/2 1/2 0/2 2/2 0/2 1/2 0/2 0/2 1/2 1/2 2/2 0/2 0/2 2/2 0/2 1/2 1/2 0/2 0/2 1/2 2/2 1/2 0/2 0/2 0/2 0/2 0/2
