idx,opt_plus,gap_plus,runtime
0,0.88888888888888917262,1.124999999999999778,31.294305000000001372ms
1,0.90000000000000035528,1.1111111111111107164,25.862562000000000495ms
2,0.87500000000000011103,1.1428571428571427938,24.891100000000001558ms
3,1,1,15.529779000000001333ms
4,0.8846153846153849143,1.1304347826086953433,28.012399000000002048ms
5,0.90000000000000035528,1.1111111111111107164,22.417098000000002856ms
6,0.90000000000000024425,1.1111111111111109385,25.115110000000001378ms
7,0.9090909090909093937,1.0999999999999996448,27.063426000000003314ms
8,0.9000000000000004663,1.1111111111111107164,26.819284000000003232ms
9,0.90476190476190532231,1.1052631578947362812,30.283295000000002518ms
10,0.90000000000000035528,1.1111111111111107164,30.297536000000000911ms
11,0.90000000000000024425,1.1111111111111109385,28.024618000000000251ms
12,0.8888888888888890616,1.125,26.959194000000000103ms
