idx,opt_plus,gap_plus,runtime
0,0.90000000000000035528,1.1111111111111107164,83.627319000000014171ms
1,0.90476190476190510026,1.1052631578947365032,115.4679750000000098ms
2,0.89473684210526360783,1.1176470588235289938,65.34657500000000141ms
3,0.90476190476190543333,1.1052631578947360592,80.657433000000011703ms
4,0.90476190476190498924,1.1052631578947367253,93.606591000000008763ms
5,0.90000000000000013323,1.1111111111111111605,124.93899300000001063ms
6,0.88888888888888928364,1.124999999999999556,85.644120000000000915ms
7,0.90476190476190521129,1.1052631578947365032,80.654030000000005885ms
8,0.90476190476190532231,1.1052631578947362812,78.3843260000000015ms
9,0.89743589743589791131,1.1142857142857138797,78.563224000000005276ms
10,0.89743589743589802233,1.1142857142857136577,79.08587700000001064ms
11,0.89743589743589813335,1.1142857142857134357,69.590217000000009762ms
12,0.90476190476190543333,1.1052631578947360592,91.0163570000000135ms
13,0.90476190476190521129,1.1052631578947365032,73.729552000000012413ms
14,0.8846153846153849143,1.1304347826086953433,94.183723000000000525ms
15,0.89743589743589802233,1.1142857142857136577,93.837142000000000053ms
16,0.90476190476190532231,1.1052631578947362812,90.798979000000002771ms
17,0.90476190476190565537,1.1052631578947358371,117.32504500000000292ms
18,0.89743589743589802233,1.1142857142857136577,61.190484000000004983ms
19,0.90476190476190543333,1.1052631578947360592,92.418354000000007887ms
20,0.89743589743589824437,1.1142857142857134357,72.224525000000014075ms
21,0.90000000000000035528,1.1111111111111107164,83.779972000000000776ms
22,0.88888888888888928364,1.124999999999999556,65.337144000000009215ms
23,0.88888888888888895057,1.125,83.391741000000010331ms
24,0.90000000000000035528,1.1111111111111107164,72.229860000000002174ms
25,0.90000000000000035528,1.1111111111111107164,79.738788000000013768ms
26,0.8888888888888890616,1.125,70.051629000000005477ms
27,0.90000000000000024425,1.1111111111111109385,73.607032000000003791ms
28,0.90000000000000035528,1.1111111111111107164,70.384193000000010443ms
29,0.90000000000000102141,1.1111111111111100503,68.776582000000004769ms
30,0.87500000000000022205,1.1428571428571425717,59.393846000000003472ms
31,0.88888888888888917262,1.124999999999999778,87.107773000000008779ms
32,0.88888888888888928364,1.124999999999999556,57.735655000000001281ms
33,0.89743589743589791131,1.1142857142857138797,68.042642000000000735ms
34,0.89743589743589780028,1.1142857142857138797,73.086792000000002645ms
35,0.9230769230769237943,1.0833333333333325932,93.657491000000007376ms
36,0.92156862745098089285,1.085106382978722861,88.863885000000010451ms
37,0.92156862745098078183,1.085106382978723083,71.816666000000012105ms
38,0.9166666666666672958,1.0909090909090901623,72.83330400000001248ms
39,0.91111111111111198202,1.097560975609755074,72.976321000000012873ms
40,0.90476190476190543333,1.1052631578947360592,61.487199000000003935ms
41,0.89743589743589791131,1.1142857142857138797,80.669258000000013454ms
42,0.88235294117647067314,1.1333333333333333038,96.180992000000003373ms
43,0.90476190476190532231,1.1052631578947362812,109.09617900000000646ms
44,0.89743589743589791131,1.1142857142857138797,73.226668000000003645ms
45,0.90476190476190510026,1.1052631578947365032,76.919240000000002056ms
