n,gapII,family_gapII,iterations,runtime
8,1.1052631578947365032,1.3157894736842106199,0,118.25160100000000796ms
8,1.1111111111111111605,1.3333333333333341475,0,135.94756800000001818ms
8,1.1111111111111107164,1.3333333333333334814,0,135.64575600000000577ms
8,1.1111111111111107164,1.3333333333333334814,0,128.95361100000002353ms
9,1.1111111111111111605,1.3333333333333339255,0,136.69838800000002266ms
9,1.125,1.3333333333333341475,2,213.94375200000001769ms
9,1.125,1.3333333333333337035,2,194.73758700000001909ms
9,1.1111111111111111605,1.3333333333333341475,0,162.94628400000001989ms
9,1.124999999999999778,1.3333333333333341475,3,215.87413400000002639ms
9,1.124999999999999778,1.2857142857142864756,2,170.00215800000000855ms
9,1.1111111111111109385,1.3333333333333337035,0,137.38994600000000901ms
9,1.1052631578947362812,1.3157894736842106199,0,144.04143900000002532ms
9,1.1111111111111111605,1.3333333333333341475,0,153.05629800000002661ms
9,1.1111111111111111605,1.3333333333333339255,0,127.82611000000001412ms
9,1.1052631578947362812,1.3157894736842106199,0,149.15910900000000084ms
9,1.0999999999999996448,1.3000000000000007106,0,129.77645300000000362ms
9,1.1111111111111111605,1.3333333333333343696,0,142.20947500000002606ms
9,1.125,1.2857142857142864756,2,166.99427900000000591ms
10,1.125,1.3333333333333339255,2,190.27345200000002024ms
10,1.1111111111111109385,1.3333333333333337035,0,175.10927800000001753ms
10,1.0857142857142854098,1.2571428571428582278,0,191.67679000000001111ms
10,1.125,1.3333333333333339255,4,328.62445400000001428ms
10,1.1111111111111109385,1.3333333333333337035,0,182.08226000000001932ms
10,1.125,1.3333333333333337035,3,209.29709400000001552ms
10,1.1304347826086955653,1.3333333333333339255,6,504.10920100000004141ms
10,1.1304347826086953433,1.3333333333333337035,7,392.09841700000004039ms
10,1.125,1.3333333333333339255,3,298.93961800000005269ms
10,1.0999999999999996448,1.3000000000000002665,0,190.33966500000002498ms
10,1.1111111111111111605,1.3333333333333334814,0,175.38342500000001679ms
10,1.1111111111111109385,1.3333333333333337035,0,201.23380400000002056ms
10,1.125,1.2857142857142862536,2,233.87564200000002757ms
10,1.1111111111111109385,1.3333333333333334814,0,181.71380200000001537ms
10,1.1111111111111109385,1.3333333333333339255,0,170.67217400000001249ms
10,1.1052631578947360592,1.3157894736842103978,0,195.06420300000002044ms
10,1.1111111111111107164,1.3333333333333334814,0,162.19854600000002165ms
10,1.124999999999999778,1.2857142857142860315,3,291.42225900000005368ms
10,1.1111111111111107164,1.3333333333333332594,0,166.12125100000000089ms
10,1.1052631578947365032,1.315789473684211286,0,246.44605400000000373ms
10,1.0999999999999996448,1.3000000000000009326,0,227.95257900000001428ms
10,1.1052631578947365032,1.3157894736842103978,0,207.6584020000000237ms
10,1.1428571428571427938,1.3333333333333339255,1,171.74695100000002413ms
10,1.124999999999999778,1.3333333333333341475,2,159.29090700000000425ms
10,1.1052631578947365032,1.3157894736842110639,0,191.77647300000000997ms
10,1.1428571428571425717,1.3333333333333341475,1,171.93908400000000825ms
