n,gapII,family_gapII,iterations,runtime
9,1.1052631578947362812,1.3157894736842106199,0,174.60732600000000048ms
9,1.1111111111111107164,1.3333333333333337035,0,186.7687490000000139ms
9,1.1052631578947365032,1.3157894736842110639,0,207.14587200000002554ms
9,1.0909090909090906064,1.2727272727272727071,0,179.71823500000002128ms
9,1.1052631578947365032,1.3157894736842106199,0,187.864970000000028ms
9,1.1052631578947362812,1.3157894736842108419,0,179.77447600000002126ms
9,1.0909090909090901623,1.2727272727272729292,0,166.78054700000001276ms
9,1.1052631578947365032,1.3157894736842106199,0,172.199183000000005ms
9,1.0909090909090903843,1.2727272727272729292,0,157.36660600000001864ms
9,1.1052631578947365032,1.315789473684211286,0,172.09500000000002729ms
9,1.1111111111111109385,1.3333333333333337035,0,151.88509200000001443ms
9,1.1111111111111111605,1.3333333333333339255,0,166.98665700000000812ms
9,1.1111111111111109385,1.3333333333333339255,0,160.98180800000000091ms
9,1.1111111111111109385,1.3333333333333339255,0,119.96965200000001062ms
9,1.1111111111111109385,1.3333333333333341475,0,134.16193000000001235ms
9,1.1111111111111111605,1.3333333333333339255,0,141.63063200000001985ms
9,1.1111111111111111605,1.3333333333333341475,0,155.5998750000000257ms
9,1.1111111111111107164,1.3333333333333337035,0,166.32508700000002478ms
10,1.1111111111111107164,1.3333333333333337035,0,178.05931000000001064ms
10,1.1111111111111111605,1.3333333333333341475,0,165.57720800000001305ms
10,1.0909090909090906064,1.2727272727272727071,0,166.81879700000001777ms
10,1.0909090909090903843,1.2727272727272729292,0,173.67246400000001927ms
10,1.1034482758620685062,1.3103448275862072948,0,197.10548700000001077ms
10,1.0909090909090908284,1.2727272727272733733,0,184.68728800000002366ms
10,1.0975609756097557402,1.2926829268292692188,0,176.3564580000000035ms
10,1.0909090909090901623,1.2727272727272729292,0,177.57505300000002535ms
10,1.1052631578947365032,1.315789473684211508,0,179.08241200000000504ms
10,1.0999999999999996448,1.3000000000000004885,0,194.52445200000002501ms
10,1.0909090909090906064,1.2727272727272733733,0,198.01549000000002821ms
10,1.1111111111111109385,1.3333333333333339255,0,188.05525900000000661ms
10,1.1052631578947365032,1.3157894736842106199,0,205.18533700000000409ms
10,1.1052631578947362812,1.3157894736842108419,0,181.53657200000000672ms
10,1.079999999999999405,1.2400000000000002132,0,181.49374900000000821ms
10,1.1052631578947365032,1.315789473684211508,0,205.98994500000000585ms
10,1.1052631578947365032,1.315789473684211286,0,205.76855300000002558ms
10,1.1052631578947362812,1.3157894736842108419,0,178.66951100000002839ms
10,1.125,1.2857142857142862536,2,205.13883000000001289ms
10,1.0909090909090906064,1.2727272727272733733,0,217.47968200000002526ms
10,1.0909090909090903843,1.272727272727272041,0,183.11376700000002416ms
10,1.0909090909090903843,1.2727272727272724851,0,232.45955500000002303ms
10,1.1111111111111109385,1.3333333333333339255,0,145.19378800000001207ms
10,1.1111111111111109385,1.3333333333333337035,0,185.28455200000001924ms
10,1.0909090909090903843,1.2727272727272729292,0,205.42476600000000531ms
10,1.1052631578947360592,1.3157894736842103978,0,196.61783200000002126ms
10,1.125,1.2857142857142866977,3,290.52958800000004658ms
10,1.1111111111111107164,1.3333333333333334814,0,180.75788200000002349ms
10,1.1111111111111109385,1.3333333333333319271,0,201.72457400000001826ms
10,1.124999999999999556,1.3333333333333339255,2,212.98121700000001511ms
10,1.1052631578947365032,1.3157894736842110639,0,268.83877800000004755ms
10,1.1052631578947365032,1.3157894736842117301,0,228.93444900000000076ms
10,1.1052631578947365032,1.3157894736842110639,0,242.04173000000000116ms
10,1.124999999999999556,1.2857142857142864756,1,202.86033700000001546ms
10,1.1111111111111109385,1.3333333333333337035,0,282.251036000000056ms
10,1.1111111111111107164,1.3333333333333337035,0,210.36249400000002652ms
10,1.1142857142857136577,1.3333333333333337035,1,198.88784500000002709ms
10,1.1111111111111109385,1.3333333333333337035,0,233.21801000000002091ms
10,1.1052631578947365032,1.315789473684211286,0,218.32849200000001134ms
10,1.125,1.3333333333333339255,3,368.58792100000005121ms
10,1.0909090909090903843,1.2727272727272729292,0,206.37685500000000616ms
10,1.1052631578947365032,1.3157894736842110639,0,165.82162800000000403ms
10,1.1052631578947365032,1.3157894736842110639,0,215.46009800000001633ms
10,1.0999999999999996448,1.3000000000000002665,0,268.41808700000001409ms
10,1.1111111111111111605,1.3333333333333341475,0,214.11450800000000073ms
10,1.1111111111111109385,1.3333333333333339255,0,178.16695000000001415ms
10,1.1111111111111109385,1.3333333333333334814,0,237.43989900000002536ms
10,1.1052631578947365032,1.315789473684211508,0,208.10371300000002748ms
10,1.1111111111111104944,1.3333333333333330373,0,175.43034400000001938ms
10,1.1052631578947365032,1.3157894736842110639,0,228.4355300000000284ms
10,1.124999999999999556,1.2857142857142858095,2,278.55633900000003678ms
10,1.1052631578947365032,1.3157894736842110639,0,254.98124400000000378ms
10,1.1111111111111109385,1.3333333333333341475,0,206.9336020000000076ms
10,1.1052631578947365032,1.315789473684211286,0,222.30633800000001088ms
10,1.1142857142857136577,1.2500000000000004441,2,303.19299200000000383ms
10,1.125,1.2500000000000002221,2,257.17977400000000899ms
10,1.1052631578947365032,1.3157894736842110639,0,182.56800400000000196ms
10,1.1111111111111109385,1.3333333333333337035,0,173.36782300000001556ms
10,1.1052631578947362812,1.315789473684211286,0,201.05744900000001963ms
