n,gapII,family_gapII,iterations,runtime
10,1.0909090909090906064,1.2727272727272731512,0,255.68871000000001459ms
10,1.1052631578947365032,1.315789473684211286,0,215.70887500000000614ms
10,1.0909090909090901623,1.2727272727272724851,0,225.63558000000000448ms
10,1.1052631578947362812,1.3157894736842108419,0,201.0464380000000233ms
10,1.0909090909090906064,1.2727272727272733733,0,226.87719600000002629ms
10,1.1111111111111109385,1.3333333333333339255,0,204.1270730000000242ms
10,1.1052631578947362812,1.3157894736842108419,0,256.76329700000002277ms
10,1.1111111111111107164,1.3333333333333339255,0,219.04632500000002438ms
10,1.1052631578947365032,1.315789473684211286,0,213.52420000000000755ms
10,1.1052631578947365032,1.315789473684211286,0,239.38189500000001431ms
10,1.1111111111111111605,1.3333333333333341475,0,184.22504500000002282ms
10,1.1016949152542370172,1.3050847457627126059,0,272.91882000000003928ms
10,1.1052631578947365032,1.3157894736842110639,0,198.38135900000000334ms
10,1.0909090909090906064,1.2727272727272731512,0,232.80919200000002434ms
10,1.1111111111111107164,1.3333333333333337035,0,204.50042000000001963ms
10,1.0909090909090906064,1.2727272727272727071,0,220.33223800000001802ms
10,1.0909090909090903843,1.2727272727272729292,0,177.46649000000002161ms
10,1.0909090909090901623,1.2727272727272727071,0,229.59556100000000356ms
10,1.1111111111111107164,1.3333333333333341475,0,257.274703000000045ms
10,1.0909090909090901623,1.2727272727272731512,0,262.77610000000004221ms
10,1.079999999999999405,1.2400000000000004353,0,219.26111600000001545ms
10,1.1052631578947365032,1.3157894736842101758,0,277.8341850000000477ms
10,1.1052631578947362812,1.3157894736842108419,0,215.70208000000002358ms
10,1.1052631578947371694,1.3157894736842119521,0,246.01041600000002064ms
10,1.1052631578947365032,1.3157894736842110639,0,194.86781500000000734ms
10,1.0909090909090901623,1.2727272727272727071,0,206.87924800000001824ms
10,1.1052631578947362812,1.3157894736842106199,0,206.14534100000000195ms
10,1.1052631578947362812,1.3157894736842103978,0,198.12336000000001946ms
10,1.1052631578947365032,1.315789473684211286,0,188.019139000000024ms
10,1.1052631578947362812,1.3157894736842106199,0,220.24186700000001338ms
10,1.0909090909090906064,1.2727272727272733733,0,213.30157300000001897ms
10,1.079999999999999405,1.2400000000000002132,0,201.48066300000002116ms
10,1.1111111111111107164,1.3333333333333334814,0,200.43365600000001337ms
10,1.1111111111111109385,1.3333333333333337035,0,220.93635600000001773ms
10,1.1052631578947362812,1.3157894736842108419,0,210.17628900000002546ms
10,1.1111111111111111605,1.3333333333333341475,0,210.7163420000000258ms
10,1.1052631578947362812,1.3157894736842108419,0,260.28669000000002143ms
10,1.0909090909090901623,1.2727272727272724851,0,223.570539000000025ms
